DIGNIDAD_CODIGO,OP_CODIGO,CANDIDATO_CODIGO,CANDIDATO_ORDEN,CANDIDATO_PROVINCIA_CODIGO,CANDIDATO_CANTON_CODIGO,CANDIDATO_PARROQUIA_CODIGO,CANDIDATO_NOMBRE,CANDIDATO_SEXO,CANDIDATO_EDAD_EXACTA,CANDIDATO_GRUPO_DE_EDAD,SUPLENTE_NOMBRE,SUPLENTE_SEXO,SUPLENTE_EDAD_EXACTA,SUPLENTE_GRUPOS_DE_EDAD
1,48,1000000000001,1,0,0,0,GUTIERREZ BORBUA LUCIO EDWIN,1,52.09315068493151,3,MANTILLA HUERTA LUIS FELIPE,1,58.67123287671233,3
1,5,1000000000002,1,0,0,0,NOBOA PONTON ALVARO FERNANDO,1,58.42739726027397,3,AZIN ARCE ANNABELLA EMMA,2,47.90684931506849,3
1,119,1000000000003,1,0,0,0,ROLDOS BUCARAM MARTHA RINA VICTORIA,2,45.5013698630137,3,DELGADO TORRES GIN EDUARDO,1,49.49041095890411,3
1,56,1000000000004,1,0,0,0,CORREA DELGADO RAFAEL VICENTE,1,46.054794520547944,3,MORENO GARCES LENIN BOLTAIRE,1,56.104109589041094,3
1,75,1000000000005,1,0,0,0,JACOME MARIN MELBA YOLANDA,2,51.43013698630137,3,GUAMBO CHICAIZA JOSE RICARDO,1,52.585567782019616,3
1,76,1000000000006,1,0,0,0,GONZALEZ ALBORNOZ CARLOS BENJAMIN,1,57.00273224043716,3,PROCEL AGUIÑO JULIO HUGO,1,57.75616438356165,3
1,95,1000000000007,1,0,0,0,DELGADO JARA DIEGO CRISTOBAL,1,56.385245901639344,3,SANCHEZ GAMBOA MENTHOR DAVID,1,47.21095890410959,3
1,100,1000000000008,1,0,0,0,SAGNAY DE LA BASTIDA CARLOS FRANCISCO,1,53.169398907103826,3,BUENO QUICHIMBO SEGUNDO LAUREANO,1,46.64657534246575,3
2,48,2010000000001,1,1,0,0,DIAZ VILLAMARIN LUIS ORLANDO,1,50.76438356164383,3,CABRERA ROMERO ANGEL CORNELIO,1,45.25136612021858,3
2,1022,2010000000002,1,1,0,0,CARRASCO CARPIO PAUL ERNESTO,1,38.0958904109589,2,ACURIO PAEZ FAUSTO DAVID,1,44.828737180926716,2
2,1024,2010000000003,1,1,0,0,BERNAL BERNAL ESTEBAN REMIGIO,1,36.05205479452055,2,IDROVO ABRIL FAUSTO RUBEN,1,53.73972602739726,3
2,95,2010000000004,1,1,0,0,CEDILLO GUERRERO RICARDO SEGUNDO,1,64.11780821917809,3,VILLENA CHAVEZ EDGAR GERMAN,1,66.80821917808218,4
2,48,2020000000001,1,2,0,0,TAPIA LOMBEYDA LUIS FERNANDO,1,60.087671232876716,3,PAZMIÑO ZABALA CESAR AUGUSTO,1,50.583561643835615,3
2,5,2020000000002,1,2,0,0,GUERRERO SUAREZ OSWALDO CRISTOBAL,1,65.31693989071039,4,NARANJO BONILLA PATRICIO XAVIER,1,35.61369863013699,2
